---------Preisupdate vom 09.02.2015 ----------
Artikelnr 100640 : Preis Neu => 1.60, region = 2001
Artikelnr 904419 : Preis 21.32 => 22.94, region = 2005
Artikelnr 904420 : Preis 1.30 => 1.38, region = 2005
Artikelnr 904421 : Preis 1.30 => 1.38, region = 2005
Artikelnr 904423 : Preis 3.76 => 3.30, region = 2005
Artikelnr 904424 : Preis 36.59 => 33.49, region = 2005
Artikelnr 904425 : Preis 10.05 => 10.69, region = 2005
Artikelnr 904426 : Preis 10.05 => 10.69, region = 2005
Artikelnr 904427 : Preis 10.05 => 10.69, region = 2005
Artikelnr 904428 : Preis 2.40 => 2.55, region = 2005
Artikelnr 904430 : Preis 2.42 => 2.22, region = 2005
Artikelnr 904431 : Preis 3.13 => 2.96, region = 2005
Artikelnr 904432 : Preis 2.42 => 2.22, region = 2005
Artikelnr 904433 : Preis 2.42 => 2.22, region = 2005
Artikelnr 904434 : Preis 2.42 => 2.22, region = 2005
Artikelnr 904435 : Preis 1.98 => 2.09, region = 2005
Artikelnr 904436 : Preis 1.98 => 2.09, region = 2005
Artikelnr 904437 : Preis 1.98 => 2.09, region = 2005
Artikelnr 904438 : Preis 4.12 => 4.34, region = 2005
Artikelnr 904443 : Preis Neu => 0.05, region = 2005
Artikelnr 904444 : Preis Neu => 0.21, region = 2005
Artikelnr 904452 : Preis 34.54 => 23.15, region = 2005
Artikelnr 904453 : Preis 23.38 => 15.67, region = 2005
Artikelnr 904454 : Preis 23.99 => 16.08, region = 2005
Artikelnr 904471 : Preis Neu => 11.50, region = 2005
Artikelnr 904472 : Preis Neu => 1.29, region = 2005
Artikelnr 904473 : Preis Neu => 0.97, region = 2005
Artikelnr 904479 : Preis 34.66 => 27.23, region = 2005
Artikelnr 904514 : Preis Neu => 0.98, region = 2005
Artikelnr 904521 : Preis 162.90 => 98.20, region = 2005
Artikelnr 904522 : Preis Neu => 7.92, region = 2005
Artikelnr 904528 : Preis Neu => 8.40, region = 2005
Artikelnr 904548 : Preis Neu => 0.20, region = 2005
Artikelnr 904552 : Preis 111.93 => 170.96, region = 2005
Artikelnr 904553 : Preis Neu => 60.89, region = 2005
Artikelnr 904555 : Preis Neu => 20.49, region = 2005
Artikelnr 904557 : Preis Neu => 0.80, region = 2005
Artikelnr 904558 : Preis Neu => 0.55, region = 2005
Artikelnr 904572 : Preis Neu => 3.24, region = 2005
Artikelnr 904576 : Preis Neu => 30.00, region = 2005
Artikelnr 904577 : Preis Neu => 38.00, region = 2005
Artikelnr 904578 : Preis Neu => 39.00, region = 2005
Artikelnr 904579 : Preis Neu => 49.00, region = 2005
Artikelnr 904580 : Preis Neu => 86.00, region = 2005
Artikelnr 904601 : Preis Neu => 7.50, region = 2005
Artikelnr 904602 : Preis Neu => 55.00, region = 2005
Artikelnr 904605 : Preis Neu => 9.50, region = 2005
Artikelnr 904606 : Preis Neu => 18.50, region = 2005
Artikelnr 904607 : Preis Neu => 47.00, region = 2005
Artikelnr 904608 : Preis Neu => 245.00, region = 2005
Artikelnr 904609 : Preis Neu => 120.00, region = 2005
Artikelnr 904610 : Preis Neu => 2.90, region = 2005
Artikelnr 904611 : Preis Neu => 5.10, region = 2005
Artikelnr 904612 : Preis Neu => 11.30, region = 2005
Artikelnr 904613 : Preis Neu => 8.30, region = 2005
Artikelnr 904614 : Preis Neu => 32.85, region = 2005
Artikelnr 904616 : Preis 25.02 => 19.90, region = 2005
Artikelnr 904622 : Preis Neu => 5.97, region = 2005
Artikelnr 904626 : Preis Neu => 0.02, region = 2005
Artikelnr 904627 : Preis 3.55 => 5.61, region = 2005
Artikelnr 904638 : Preis 14.57 => 16.23, region = 2005
Artikelnr 904671 : Preis Neu => 6.41, region = 2005
Artikelnr 904673 : Preis Neu => 4.60, region = 2005
Artikelnr 904681 : Preis Neu => 2.87, region = 2005
Artikelnr 904686 : Preis Neu => 1.29, region = 2005
Artikelnr 904688 : Preis 2.77 => 2.91, region = 2005
Artikelnr 904689 : Preis 1.04 => 1.09, region = 2005
Artikelnr 904690 : Preis 1.55 => 1.64, region = 2005
Artikelnr 904711 : Preis 1.17 => 1.23, region = 2005
Artikelnr 904744 : Preis Neu => 36.63, region = 2005
Artikelnr 904751 : Preis Neu => 0.23, region = 2005
Artikelnr 904753 : Preis Neu => 0.64, region = 2005
Artikelnr 904759 : Preis Neu => 0.81, region = 2005
Artikelnr 904760 : Preis Neu => 0.69, region = 2005
Artikelnr 904761 : Preis 37.12 => 19.38, region = 2005
Artikelnr 904763 : Preis Neu => 0.43, region = 2005
Artikelnr 904766 : Preis Neu => 0.01, region = 2005
Artikelnr 904767 : Preis Neu => 0.05, region = 2005
Artikelnr 904772 : Preis Neu => 16.90, region = 2005
Artikelnr 904774 : Preis Neu => 35.35, region = 2005
Artikelnr 904876 : Preis Neu => 126.66, region = 2005
Artikelnr 904878 : Preis Neu => 2.33, region = 2005
Artikelnr 904879 : Preis Neu => 0.83, region = 2005
Artikelnr 904881 : Preis Neu => 12.56, region = 2005
Artikelnr 904893 : Preis Neu => 20.18, region = 2005
Artikelnr 904894 : Preis Neu => 23.74, region = 2005
Artikelnr 904914 : Preis 34.80 => 29.79, region = 2005
Artikelnr 904915 : Preis Neu => 0.74, region = 2005
Artikelnr 904916 : Preis 8.09 => 8.42, region = 2005
Artikelnr 904917 : Preis 4.64 => 4.94, region = 2005
Artikelnr 904918 : Preis Neu => 4.03, region = 2005
Artikelnr 904985 : Preis 0.91 => 1.00, region = 2005
Artikelnr 905032 : Preis Neu => 0.12, region = 2005
Artikelnr 905033 : Preis Neu => 0.03, region = 2005
Artikelnr 905045 : Preis Neu => 161.31, region = 2005
Artikelnr 905046 : Preis Neu => 0.02, region = 2005
Artikelnr 905062 : Preis 0.30 => 0.34, region = 2005
Artikelnr 905064 : Preis 0.48 => 0.32, region = 2005
Artikelnr 905065 : Preis Neu => 6.21, region = 2005
Artikelnr 905080 : Preis 0.29 => 0.42, region = 2005
Artikelnr 905081 : Preis Neu => 98.80, region = 2005
Artikelnr 905084 : Preis Neu => 1.55, region = 2005
Artikelnr 905089 : Preis 48.55 => 52.12, region = 2005
Artikelnr 905090 : Preis Neu => 51.31, region = 2005
Artikelnr 905101 : Preis Neu => 0.08, region = 2005
Artikelnr 905121 : Preis Neu => 22.63, region = 2005
Artikelnr 905172 : Preis 0.90 => 1.78, region = 2005
Artikelnr 905173 : Preis 0.70 => 1.78, region = 2005
Artikelnr 905178 : Preis Neu => 0.56, region = 2005
Artikelnr 905183 : Preis Neu => 0.89, region = 2005
Artikelnr 905185 : Preis Neu => 8.70, region = 2005
Artikelnr 905186 : Preis Neu => 7.52, region = 2005
Artikelnr 905191 : Preis Neu => 13.71, region = 2005
Artikelnr 905203 : Preis Neu => 199.00, region = 2005
Artikelnr 905221 : Preis Neu => 0.00, region = 2005
Artikelnr 905222 : Preis Neu => 0.00, region = 2005
Artikelnr 905244 : Preis 93.69 => 81.50, region = 2005
Artikelnr 905247 : Preis Neu => 18.48, region = 2005
Artikelnr 905253 : Preis 0.72 => 0.76, region = 2005
Artikelnr 905254 : Preis 0.93 => 1.02, region = 2005
Artikelnr 905255 : Preis 0.30 => 0.37, region = 2005
Artikelnr 905256 : Preis 0.54 => 0.65, region = 2005
Artikelnr 905260 : Preis Neu => 37.85, region = 2005
Artikelnr 905262 : Preis 0.33 => 0.45, region = 2005
Artikelnr 905264 : Preis 0.24 => 0.29, region = 2005
Artikelnr 905267 : Preis 10.04 => 10.79, region = 2005
Artikelnr 905269 : Preis 8.38 => 8.63, region = 2005
Artikelnr 905271 : Preis Neu => 100.00, region = 2005
Artikelnr 905281 : Preis 18.86 => 28.49, region = 2005
Artikelnr 905283 : Preis 0.17 => 0.35, region = 2005
Artikelnr 905291 : Preis Neu => 26.70, region = 2005
Artikelnr 905292 : Preis Neu => 113.10, region = 2005
Artikelnr 905302 : Preis Neu => 2.26, region = 2005
Artikelnr 905312 : Preis Neu => 0.01, region = 2005
Artikelnr 905313 : Preis Neu => 0.03, region = 2005
Artikelnr 905326 : Preis Neu => 80.42, region = 2005
Artikelnr 905327 : Preis Neu => 9.00, region = 2005
Artikelnr 905343 : Preis 441.83 => 357.98, region = 2005
Artikelnr 905379 : Preis Neu => 0.03, region = 2005
Artikelnr 905380 : Preis Neu => 0.39, region = 2005
Artikelnr 905382 : Preis Neu => 0.07, region = 2005
Artikelnr 905383 : Preis Neu => 0.02, region = 2005
Artikelnr 905384 : Preis Neu => 99.85, region = 2005
Artikelnr 905393 : Preis Neu => 42.70, region = 2005
Artikelnr 905394 : Preis Neu => 360.00, region = 2005
Artikelnr 905397 : Preis 22.88 => 24.00, region = 2005
Artikelnr 905405 : Preis Neu => 34.17, region = 2005
Artikelnr 905406 : Preis Neu => 0.01, region = 2005
Artikelnr 905407 : Preis Neu => 0.00, region = 2005
Artikelnr 905408 : Preis Neu => 0.00, region = 2005
Artikelnr 905415 : Preis Neu => 1.45, region = 2005
Artikelnr 905416 : Preis Neu => 0.96, region = 2005
Artikelnr 905417 : Preis Neu => 9.00, region = 2005
Artikelnr 905422 : Preis Neu => 0.60, region = 2005
Artikelnr 905434 : Preis Neu => 1.05, region = 2005
Artikelnr 905445 : Preis Neu => 0.02, region = 2005
Artikelnr 905446 : Preis Neu => 0.08, region = 2005
Artikelnr 905456 : Preis Neu => 12.40, region = 2005
Artikelnr 905461 : Preis Neu => 0.09, region = 2005
Artikelnr 905473 : Preis Neu => 29.37, region = 2005
Artikelnr 905476 : Preis Neu => 21.95, region = 2005
Artikelnr 905496 : Preis Neu => 10.70, region = 2005
Artikelnr 905515 : Preis Neu => 95.72, region = 2005
Artikelnr 905522 : Preis 15.30 => 15.85, region = 2005
Artikelnr 905523 : Preis 5.36 => 5.41, region = 2005
Artikelnr 905533 : Preis Neu => 0.15, region = 2005
Artikelnr 905534 : Preis Neu => 0.05, region = 2005
Artikelnr 905562 : Preis Neu => 2.56, region = 2005
Artikelnr 905611 : Preis Neu => 0.44, region = 2005
Artikelnr 905650 : Preis Neu => 29.67, region = 2005
Artikelnr 905654 : Preis Neu => 5.66, region = 2005
Artikelnr 905665 : Preis Neu => 10.90, region = 2005
Artikelnr 905677 : Preis Neu => 154.10, region = 2005
Artikelnr 905678 : Preis Neu => 1.34, region = 2005
Artikelnr 905681 : Preis Neu => 0.05, region = 2005
Artikelnr 905698 : Preis Neu => 2.40, region = 2005
Artikelnr 905699 : Preis Neu => 2.25, region = 2005
Artikelnr 905702 : Preis 32.95 => 33.17, region = 2005
Artikelnr 905712 : Preis 0.11 => 1.09, region = 2005
Artikelnr 905714 : Preis 2.79 => 2.81, region = 2005
Artikelnr 905715 : Preis Neu => 3.24, region = 2005
Artikelnr 905716 : Preis 23.45 => 14.69, region = 2005
Artikelnr 905717 : Preis 8.32 => 8.37, region = 2005
Artikelnr 905718 : Preis 37.30 => 25.12, region = 2005
Artikelnr 905719 : Preis Neu => 2.33, region = 2005
Artikelnr 905720 : Preis Neu => 4.26, region = 2005
Artikelnr 905721 : Preis 17.60 => 10.73, region = 2005
Artikelnr 905722 : Preis Neu => 1.31, region = 2005
Artikelnr 905723 : Preis Neu => 3.40, region = 2005
Artikelnr 905724 : Preis Neu => 4.43, region = 2005
Artikelnr 905725 : Preis Neu => 2.54, region = 2005
Artikelnr 905726 : Preis Neu => 5.86, region = 2005
Artikelnr 905727 : Preis Neu => 14.95, region = 2005
Artikelnr 905728 : Preis 9.15 => 6.32, region = 2005
Artikelnr 905729 : Preis 17.60 => 7.41, region = 2005
Artikelnr 905730 : Preis Neu => 0.73, region = 2005
Artikelnr 905731 : Preis Neu => 0.83, region = 2005
Artikelnr 905732 : Preis Neu => 4.32, region = 2005
Artikelnr 905733 : Preis Neu => 5.62, region = 2005
Artikelnr 905734 : Preis Neu => 0.51, region = 2005
Artikelnr 905735 : Preis Neu => 1.19, region = 2005
Artikelnr 905736 : Preis Neu => 7.87, region = 2005
Artikelnr 905739 : Preis 2.23 => 2.57, region = 2005
Artikelnr 905740 : Preis 11.66 => 12.40, region = 2005
Artikelnr 905741 : Preis 11.66 => 12.40, region = 2005
Artikelnr 905743 : Preis Neu => 12.13, region = 2005
Artikelnr 905744 : Preis Neu => 6.03, region = 2005
Artikelnr 905745 : Preis Neu => 3.68, region = 2005
Artikelnr 905746 : Preis 1.73 => 1.60, region = 2005
Artikelnr 905747 : Preis 2.17 => 1.99, region = 2005
Artikelnr 905748 : Preis 2.19 => 1.78, region = 2005
Artikelnr 905749 : Preis Neu => 3.16, region = 2005
Artikelnr 905750 : Preis Neu => 4.00, region = 2005
Artikelnr 905751 : Preis Neu => 4.00, region = 2005
Artikelnr 905754 : Preis 24.06 => 25.61, region = 2005
Artikelnr 905758 : Preis 17.60 => 7.41, region = 2005
Artikelnr 905759 : Preis 1.73 => 1.60, region = 2005
Artikelnr 905760 : Preis 1.73 => 1.60, region = 2005
Artikelnr 905761 : Preis 1.73 => 1.60, region = 2005
Artikelnr 905762 : Preis 2.40 => 2.34, region = 2005
Artikelnr 905763 : Preis 1.73 => 1.60, region = 2005
Artikelnr 905764 : Preis 98.22 => 85.45, region = 2005
Artikelnr 905765 : Preis 106.59 => 83.44, region = 2005
Artikelnr 905766 : Preis 18.80 => 16.36, region = 2005
Artikelnr 905767 : Preis 78.37 => 61.35, region = 2005
Artikelnr 905768 : Preis 45.97 => 31.74, region = 2005
Artikelnr 905769 : Preis 45.88 => 31.68, region = 2005
Artikelnr 905770 : Preis 45.88 => 31.68, region = 2005
Artikelnr 905771 : Preis 73.46 => 44.90, region = 2005
Artikelnr 905772 : Preis 48.85 => 32.27, region = 2005
Artikelnr 905773 : Preis 40.68 => 18.35, region = 2005
Artikelnr 905774 : Preis 73.46 => 46.03, region = 2005
Artikelnr 905775 : Preis 81.89 => 56.54, region = 2005
Artikelnr 905776 : Preis 42.74 => 28.49, region = 2005
Artikelnr 905777 : Preis 129.17 => 29.51, region = 2005
Artikelnr 905778 : Preis 101.47 => 41.25, region = 2005
Artikelnr 905779 : Preis 106.86 => 45.54, region = 2005
Artikelnr 905780 : Preis 24.06 => 25.61, region = 2005
Artikelnr 905783 : Preis Neu => 20.40, region = 2005
Artikelnr 905784 : Preis 28.03 => 32.63, region = 2005
Artikelnr 905791 : Preis Neu => 12.54, region = 2005
Artikelnr 905792 : Preis Neu => 160.33, region = 2005
Artikelnr 905793 : Preis 8.53 => 7.42, region = 2005
Artikelnr 905794 : Preis Neu => 12.57, region = 2005
Artikelnr 905795 : Preis Neu => 16.65, region = 2005
Artikelnr 905796 : Preis 17.13 => 15.87, region = 2005
Artikelnr 905798 : Preis Neu => 19.29, region = 2005
Artikelnr 905799 : Preis Neu => 17.39, region = 2005
Artikelnr 905810 : Preis Neu => 1.73, region = 2005
Artikelnr 905811 : Preis Neu => 92.70, region = 2005
Artikelnr 905812 : Preis Neu => 42.05, region = 2005
Artikelnr 905813 : Preis Neu => 4.00, region = 2005
Artikelnr 905814 : Preis Neu => 3.00, region = 2005
Artikelnr 905819 : Preis Neu => 164.80, region = 2005
Artikelnr 905845 : Preis Neu => 5.74, region = 2005
Artikelnr 905846 : Preis Neu => 7.90, region = 2005
Artikelnr 905848 : Preis Neu => 64.00, region = 2005
Artikelnr 905849 : Preis Neu => 0.01, region = 2005
Artikelnr 905856 : Preis Neu => 108.30, region = 2005
Artikelnr 905860 : Preis Neu => 7.10, region = 2005
Artikelnr 905873 : Preis 3522.02 => 3584.73, region = 2005
Artikelnr 905876 : Preis 3834.85 => 3903.81, region = 2005
Artikelnr 905889 : Preis Neu => 0.04, region = 2005
Artikelnr 905905 : Preis Neu => 4.24, region = 2005
Artikelnr 905906 : Preis Neu => 8.49, region = 2005
Artikelnr 905907 : Preis Neu => 62.90, region = 2005
Artikelnr 905909 : Preis Neu => 3.35, region = 2005
Artikelnr 905910 : Preis Neu => 4.00, region = 2005
Artikelnr 905911 : Preis Neu => 4.25, region = 2005
Artikelnr 905915 : Preis Neu => 18.60, region = 2005
Artikelnr 905953 : Preis Neu => 210.00, region = 2005
Artikelnr 905954 : Preis Neu => 210.00, region = 2005
Artikelnr 905956 : Preis 100.50 => 70.06, region = 2005
Artikelnr 905961 : Preis Neu => 3.54, region = 2005
Artikelnr 906082 : Preis Neu => 0.61, region = 2005
Artikelnr 906083 : Preis 3.95 => 4.03, region = 2005
Artikelnr 906092 : Preis Neu => 0.51, region = 2005
Artikelnr 906094 : Preis 4.43 => 4.90, region = 2005
Artikelnr 906096 : Preis 1.36 => 1.49, region = 2005
Artikelnr 906101 : Preis Neu => 38.60, region = 2005
Artikelnr 906116 : Preis Neu => 103.20, region = 2005
Artikelnr 906126 : Preis Neu => 29.00, region = 2005
Artikelnr 906140 : Preis Neu => 9.17, region = 2005
Artikelnr 906148 : Preis Neu => 2.48, region = 2005
Artikelnr 906149 : Preis Neu => 3.68, region = 2005
Artikelnr 906152 : Preis Neu => 0.16, region = 2005
Artikelnr 906171 : Preis Neu => 99.16, region = 2005
Artikelnr 906174 : Preis Neu => 0.12, region = 2005
Artikelnr 906191 : Preis Neu => 0.96, region = 2005
Artikelnr 906192 : Preis Neu => 0.41, region = 2005
Artikelnr 906198 : Preis 12.45 => 19.78, region = 2005
Artikelnr 906202 : Preis 60.39 => 70.60, region = 2005
Artikelnr 906213 : Preis 6.45 => 5.45, region = 2005
Artikelnr 906214 : Preis Neu => 2.94, region = 2005
Artikelnr 906264 : Preis Neu => 2.25, region = 2005
Artikelnr 906281 : Preis Neu => 1.76, region = 2005
Artikelnr 906282 : Preis Neu => 0.09, region = 2005
Artikelnr 906283 : Preis Neu => 0.06, region = 2005
Artikelnr 906303 : Preis Neu => 3.39, region = 2005
Artikelnr 906331 : Preis 1.05 => 0.87, region = 2005
Artikelnr 906332 : Preis 0.99 => 0.94, region = 2005
Artikelnr 906333 : Preis 1.27 => 1.08, region = 2005
Artikelnr 906334 : Preis 1.23 => 1.18, region = 2005
Artikelnr 906335 : Preis 1.54 => 1.32, region = 2005
Artikelnr 906336 : Preis 1.66 => 1.61, region = 2005
Artikelnr 906337 : Preis 1.50 => 1.26, region = 2005
Artikelnr 906338 : Preis 1.40 => 1.96, region = 2005
Artikelnr 906339 : Preis 1.63 => 1.36, region = 2005
Artikelnr 906340 : Preis 1.55 => 1.50, region = 2005
Artikelnr 906341 : Preis 1.89 => 1.49, region = 2005
Artikelnr 906342 : Preis 1.55 => 2.57, region = 2005
Artikelnr 906343 : Preis 1.56 => 1.27, region = 2005
Artikelnr 906344 : Preis 1.44 => 1.40, region = 2005
Artikelnr 906345 : Preis 1.84 => 1.55, region = 2005
Artikelnr 906346 : Preis 1.82 => 1.79, region = 2005
Artikelnr 906347 : Preis 2.47 => 2.10, region = 2005
Artikelnr 906348 : Preis 2.46 => 2.48, region = 2005
Artikelnr 906349 : Preis 2.73 => 2.17, region = 2005
Artikelnr 906350 : Preis 2.46 => 2.37, region = 2005
Artikelnr 906351 : Preis 3.24 => 2.53, region = 2005
Artikelnr 906371 : Preis Neu => 136.70, region = 2005
Artikelnr 906381 : Preis Neu => 11.34, region = 2005
Artikelnr 906382 : Preis Neu => 10.94, region = 2005
Artikelnr 906407 : Preis Neu => 68.20, region = 2005
Artikelnr 906408 : Preis Neu => 86.00, region = 2005
Artikelnr 906409 : Preis Neu => 99.40, region = 2005
Artikelnr 906410 : Preis Neu => 4.39, region = 2005
Artikelnr 906421 : Preis Neu => 7.14, region = 2005
Artikelnr 906422 : Preis Neu => 9.76, region = 2005
Artikelnr 906451 : Preis Neu => 15.60, region = 2005
Artikelnr 906452 : Preis Neu => 23.60, region = 2005
Artikelnr 906453 : Preis Neu => 20.05, region = 2005
Artikelnr 906457 : Preis Neu => 33.78, region = 2005
Artikelnr 906471 : Preis Neu => 7.15, region = 2005
Artikelnr 906493 : Preis 4.50 => 3.79, region = 2005
Artikelnr 906494 : Preis 4.15 => 3.93, region = 2005
Artikelnr 906495 : Preis 7.75 => 6.11, region = 2005
Artikelnr 906496 : Preis 7.31 => 6.06, region = 2005
Artikelnr 906497 : Preis 10.70 => 9.16, region = 2005
Artikelnr 906501 : Preis Neu => 9.41, region = 2005
Artikelnr 906502 : Preis Neu => 8.74, region = 2005
Artikelnr 906505 : Preis Neu => 85.00, region = 2005
Artikelnr 906564 : Preis Neu => 7.32, region = 2005
Artikelnr 906689 : Preis Neu => 4.83, region = 2005
Artikelnr 906691 : Preis Neu => 155.70, region = 2005
Artikelnr 906703 : Preis Neu => 0.53, region = 2005
Artikelnr 906704 : Preis Neu => 0.02, region = 2005
Artikelnr 906705 : Preis Neu => 3.73, region = 2005
Artikelnr 906710 : Preis Neu => 119.41, region = 2005
Artikelnr 906726 : Preis Neu => 0.33, region = 2005
Artikelnr 906741 : Preis Neu => 29.95, region = 2005
Artikelnr 906745 : Preis Neu => 9.06, region = 2005
Artikelnr 906770 : Preis Neu => 0.01, region = 2005
Artikelnr 906775 : Preis Neu => 2.47, region = 2005
Artikelnr 906781 : Preis 0.99 => 1.16, region = 2005
Artikelnr 906791 : Preis Neu => 1.15, region = 2005
Artikelnr 906792 : Preis Neu => 0.27, region = 2005
Artikelnr 906793 : Preis Neu => 0.10, region = 2005
Artikelnr 906797 : Preis Neu => 0.95, region = 2005
Artikelnr 906825 : Preis Neu => 28.60, region = 2005
Artikelnr 906826 : Preis Neu => 5.55, region = 2005
Artikelnr 906827 : Preis Neu => 5.73, region = 2005
Artikelnr 906833 : Preis Neu => 5.63, region = 2005
Artikelnr 906841 : Preis 0.10 => 0.05, region = 2005
Artikelnr 906844 : Preis Neu => 86.76, region = 2005
Artikelnr 906845 : Preis Neu => 70.18, region = 2005
Artikelnr 906846 : Preis Neu => 52.77, region = 2005
Artikelnr 906863 : Preis Neu => 7.55, region = 2005
Artikelnr 906864 : Preis 6.21 => 5.25, region = 2005
Artikelnr 906867 : Preis Neu => 0.15, region = 2005
Artikelnr 906871 : Preis Neu => 3.55, region = 2005
Artikelnr 906881 : Preis Neu => 0.85, region = 2005
Artikelnr 906882 : Preis Neu => 0.85, region = 2005
Artikelnr 906883 : Preis Neu => 0.85, region = 2005
Artikelnr 906884 : Preis Neu => 15.52, region = 2005
Artikelnr 906927 : Preis Neu => 0.09, region = 2005
Artikelnr 906928 : Preis Neu => 0.05, region = 2005
Artikelnr 906929 : Preis Neu => 10.80, region = 2005
Artikelnr 906936 : Preis Neu => 9.20, region = 2005
Artikelnr 906946 : Preis 491.86 => 509.10, region = 2005
Artikelnr 906947 : Preis 381.52 => 385.22, region = 2005
Artikelnr 906948 : Preis 977.34 => 994.64, region = 2005
Artikelnr 906950 : Preis 25.42 => 48.09, region = 2005
Artikelnr 906953 : Preis 77.45 => 94.97, region = 2005
Artikelnr 906957 : Preis Neu => 8.20, region = 2005
Artikelnr 906962 : Preis Neu => 5.10, region = 2005
Artikelnr 906963 : Preis Neu => 79.50, region = 2005
Artikelnr 906965 : Preis Neu => 159.20, region = 2005
Artikelnr 906983 : Preis Neu => 6.48, region = 2005
Artikelnr 906984 : Preis Neu => 13.75, region = 2005
Artikelnr 906990 : Preis Neu => 3.75, region = 2005
Artikelnr 906991 : Preis Neu => 0.96, region = 2005
Artikelnr 906992 : Preis Neu => 0.22, region = 2005
Artikelnr 906993 : Preis Neu => 2.30, region = 2005
Artikelnr 906995 : Preis Neu => 68.32, region = 2005
Artikelnr 906997 : Preis Neu => 8.52, region = 2005
Artikelnr 907002 : Preis Neu => 0.90, region = 2005
Artikelnr 907014 : Preis 60.57 => 53.20, region = 2005
Artikelnr 907026 : Preis Neu => 10.95, region = 2005
Artikelnr 907045 : Preis Neu => 0.60, region = 2005
Artikelnr 907051 : Preis Neu => 4.00, region = 2005
Artikelnr 907052 : Preis Neu => 7.20, region = 2005
Artikelnr 907054 : Preis 42.84 => 48.07, region = 2005
Artikelnr 907063 : Preis 78.33 => 68.80, region = 2005
Artikelnr 907065 : Preis Neu => 35.98, region = 2005
Artikelnr 907068 : Preis Neu => 0.05, region = 2005
Artikelnr 907093 : Preis Neu => 85.60, region = 2005
Artikelnr 907121 : Preis Neu => 140.49, region = 2005
Artikelnr 907124 : Preis 1099.44 => 1077.88, region = 2005
Artikelnr 907127 : Preis Neu => 101.00, region = 2005
Artikelnr 907130 : Preis Neu => 1.25, region = 2005
Artikelnr 907133 : Preis Neu => 0.95, region = 2005
Artikelnr 907141 : Preis 75.43 => 58.20, region = 2005
Artikelnr 907152 : Preis Neu => 5.50, region = 2005
Artikelnr 907157 : Preis 136.97 => 108.00, region = 2005
Artikelnr 907158 : Preis 256.72 => 234.00, region = 2005
Artikelnr 907166 : Preis Neu => 2.12, region = 2005
Artikelnr 907189 : Preis Neu => 0.03, region = 2005
Artikelnr 907190 : Preis Neu => 0.04, region = 2005
Artikelnr 907194 : Preis Neu => 0.25, region = 2005
Artikelnr 907213 : Preis Neu => 48.19, region = 2005
Artikelnr 907291 : Preis Neu => 5.56, region = 2005
Artikelnr 907292 : Preis Neu => 4.50, region = 2005
Artikelnr 907293 : Preis Neu => 4.16, region = 2005
Artikelnr 907296 : Preis Neu => 0.88, region = 2005
Artikelnr 907318 : Preis Neu => 0.03, region = 2005
Artikelnr 907321 : Preis Neu => 49.20, region = 2005
Artikelnr 907363 : Preis Neu => 46.77, region = 2005
Artikelnr 907365 : Preis Neu => 21.37, region = 2005
Artikelnr 907403 : Preis 3.77 => 3.88, region = 2005
Artikelnr 907404 : Preis 4.03 => 3.51, region = 2005
Artikelnr 907405 : Preis 3.60 => 3.52, region = 2005
Artikelnr 907408 : Preis 3.94 => 4.05, region = 2005
Artikelnr 907409 : Preis 6.08 => 6.33, region = 2005
Artikelnr 907410 : Preis 6.31 => 6.68, region = 2005
Artikelnr 907431 : Preis 9.09 => 9.48, region = 2005
Artikelnr 907436 : Preis Neu => 409.58, region = 2005
Artikelnr 907451 : Preis Neu => 37.00, region = 2005
Artikelnr 907462 : Preis Neu => 0.00, region = 2005
Artikelnr 907521 : Preis Neu => 1.44, region = 2005
Artikelnr 907555 : Preis Neu => 40.60, region = 2005
Artikelnr 907561 : Preis Neu => 4.90, region = 2005
Artikelnr 907631 : Preis Neu => 26.00, region = 2005
Artikelnr 907820 : Preis Neu => 9.79, region = 2005
Artikelnr 907884 : Preis 119.58 => 148.80, region = 2005
Artikelnr 907886 : Preis 124.40 => 128.71, region = 2005
Artikelnr 907887 : Preis 150.92 => 162.50, region = 2005
Artikelnr 907890 : Preis 188.31 => 232.03, region = 2005
Artikelnr 907892 : Preis Neu => 0.02, region = 2005
Artikelnr 907894 : Preis Neu => 0.02, region = 2005
Artikelnr 907895 : Preis Neu => 0.02, region = 2005
Artikelnr 907899 : Preis Neu => 33.19, region = 2005
Artikelnr 907900 : Preis Neu => 33.19, region = 2005
Artikelnr 907911 : Preis 184.31 => 168.00, region = 2005
Artikelnr 907912 : Preis 186.51 => 170.00, region = 2005
Artikelnr 907926 : Preis Neu => 28.10, region = 2005
Artikelnr 907931 : Preis Neu => 33.19, region = 2005
Artikelnr 907952 : Preis Neu => 33.00, region = 2005
Artikelnr 907981 : Preis 6.18 => 4.80, region = 2005
Artikelnr 907997 : Preis Neu => 1.42, region = 2005
Artikelnr 907998 : Preis Neu => 1.42, region = 2005
Artikelnr 907999 : Preis Neu => 1.42, region = 2005
Artikelnr 908000 : Preis Neu => 1.42, region = 2005
Artikelnr 908004 : Preis Neu => 0.10, region = 2005
Artikelnr 908005 : Preis Neu => 2.50, region = 2005
Artikelnr 908006 : Preis Neu => 3.38, region = 2005
Artikelnr 908007 : Preis Neu => 2.10, region = 2005
Artikelnr 908013 : Preis Neu => 32.92, region = 2005
Artikelnr 908068 : Preis Neu => 7.04, region = 2005
Artikelnr 908069 : Preis Neu => 2.18, region = 2005
